question,questionSubtitle,answer,answerLink,isItalic
1927,"1st Academy Awards, 1929",Wings,https://en.wikipedia.org/wiki/Wings_(1927_film),TRUE
1929,"2nd Academy Awards, 1930",The Broadway Melody,https://en.wikipedia.org/wiki/The_Broadway_Melody,TRUE
1930,"3rd Academy Awards, 1930",All Quiet on the Western Front,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film),TRUE
1931,"4th Academy Awards, 1931",Cimarron,https://en.wikipedia.org/wiki/Cimarron_(1931_film),TRUE
1932,"5th Academy Awards, 1932",Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(1932_film),TRUE
1933,"6th Academy Awards, 1934",Cavalcade,https://en.wikipedia.org/wiki/Cavalcade_(1933_film),TRUE
1934,"7th Academy Awards, 1935",It Happened One Night,https://en.wikipedia.org/wiki/It_Happened_One_Night,TRUE
1935,"8th Academy Awards, 1936",Mutiny on the Bounty,https://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935_film),TRUE
1936,"9th Academy Awards, 1937",The Great Ziegfeld,https://en.wikipedia.org/wiki/The_Great_Ziegfeld,TRUE
1937,"10th Academy Awards, 1938",The Life of Emile Zola,https://en.wikipedia.org/wiki/The_Life_of_Emile_Zola,TRUE
1938,"11th Academy Awards, 1939",You Can't Take It with You,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(film),TRUE
1939,"12th Academy Awards, 1940",Gone with the Wind,https://en.wikipedia.org/wiki/Gone_with_the_Wind_(film),TRUE
1940,"13th Academy Awards, 1941",Rebecca,https://en.wikipedia.org/wiki/Rebecca_(1940_film),TRUE
1941,"14th Academy Awards, 1942",How Green Was My Valley,https://en.wikipedia.org/wiki/How_Green_Was_My_Valley_(film),TRUE
1942,"15th Academy Awards, 1943",Mrs. Miniver,https://en.wikipedia.org/wiki/Mrs._Miniver,TRUE
1943,"16th Academy Awards, 1944",Casablanca,https://en.wikipedia.org/wiki/Casablanca_(film),TRUE
