question,answer,questionLink,answerLink
Alabama,Montgomery,https://en.wikipedia.org/wiki/Alabama,"https://en.wikipedia.org/wiki/Montgomery,_Alabama"
Alaska,Juneau,https://en.wikipedia.org/wiki/Alaska,"https://en.wikipedia.org/wiki/Juneau,_Alaska"
Arizona,Phoenix,https://en.wikipedia.org/wiki/Arizona,"https://en.wikipedia.org/wiki/Phoenix,_Arizona"
Arkansas,Little Rock,https://en.wikipedia.org/wiki/Arkansas,"https://en.wikipedia.org/wiki/Little_Rock,_Arkansas"
California,Sacramento,https://en.wikipedia.org/wiki/California,"https://en.wikipedia.org/wiki/Sacramento,_California"
Colorado,Denver,https://en.wikipedia.org/wiki/Colorado,https://en.wikipedia.org/wiki/Denver
Connecticut,Hartford,https://en.wikipedia.org/wiki/Connecticut,"https://en.wikipedia.org/wiki/Hartford,_Connecticut"
Delaware,Dover,https://en.wikipedia.org/wiki/Delaware,"https://en.wikipedia.org/wiki/Dover,_Delaware"
Florida,Tallahassee,https://en.wikipedia.org/wiki/Florida,"https://en.wikipedia.org/wiki/Tallahassee,_Florida"
Georgia,Atlanta,https://en.wikipedia.org/wiki/Georgia_(U.S._state),https://en.wikipedia.org/wiki/Atlanta
Hawaii,Honolulu,https://en.wikipedia.org/wiki/Hawaii,https://en.wikipedia.org/wiki/Honolulu
Idaho,Boise,https://en.wikipedia.org/wiki/Idaho,"https://en.wikipedia.org/wiki/Boise,_Idaho"
Illinois,Springfield,https://en.wikipedia.org/wiki/Illinois,"https://en.wikipedia.org/wiki/Springfield,_Illinois"
Indiana,Indianapolis,https://en.wikipedia.org/wiki/Indiana,https://en.wikipedia.org/wiki/Indianapolis
Iowa,Des Moines,https://en.wikipedia.org/wiki/Iowa,"https://en.wikipedia.org/wiki/Des_Moines,_Iowa"
Kansas,Topeka,https://en.wikipedia.org/wiki/Kansas,"https://en.wikipedia.org/wiki/Topeka,_Kansas"
Kentucky,Frankfort,https://en.wikipedia.org/wiki/Kentucky,"https://en.wikipedia.org/wiki/Frankfort,_Kentucky"
Louisiana,Baton Rouge,https://en.wikipedia.org/wiki/Louisiana,"https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana"
Maine,Augusta,https://en.wikipedia.org/wiki/Maine,"https://en.wikipedia.org/wiki/Augusta,_Maine"
Maryland,Annapolis,https://en.wikipedia.org/wiki/Maryland,"https://en.wikipedia.org/wiki/Annapolis,_Maryland"
Massachusetts,Boston,https://en.wikipedia.org/wiki/Massachusetts,https://en.wikipedia.org/wiki/Boston
Michigan,Lansing,https://en.wikipedia.org/wiki/Michigan,"https://en.wikipedia.org/wiki/Lansing,_Michigan"
Minnesota,Saint Paul|St Paul,https://en.wikipedia.org/wiki/Minnesota,"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota"
Mississippi,Jackson,https://en.wikipedia.org/wiki/Mississippi,"https://en.wikipedia.org/wiki/Jackson,_Mississippi"
Missouri,Jefferson City,https://en.wikipedia.org/wiki/Missouri,"https://en.wikipedia.org/wiki/Jefferson_City,_Missouri"
Montana,Helena,https://en.wikipedia.org/wiki/Montana,"https://en.wikipedia.org/wiki/Helena,_Montana"
Nebraska,Lincoln,https://en.wikipedia.org/wiki/Nebraska,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska"
Nevada,Carson City,https://en.wikipedia.org/wiki/Nevada,"https://en.wikipedia.org/wiki/Carson_City,_Nevada"
New Hampshire,Concord,https://en.wikipedia.org/wiki/New_Hampshire,"https://en.wikipedia.org/wiki/Concord,_New_Hampshire"
New Jersey,Trenton,https://en.wikipedia.org/wiki/New_Jersey,"https://en.wikipedia.org/wiki/Trenton,_New_Jersey"
New Mexico,Santa Fe,https://en.wikipedia.org/wiki/New_Mexico,"https://en.wikipedia.org/wiki/Santa_Fe,_New_Mexico"
New York,Albany,https://en.wikipedia.org/wiki/New_York_(state),"https://en.wikipedia.org/wiki/Albany,_New_York"
North Carolina,Raleigh,https://en.wikipedia.org/wiki/North_Carolina,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina"
North Dakota,Bismarck,https://en.wikipedia.org/wiki/North_Dakota,"https://en.wikipedia.org/wiki/Bismarck,_North_Dakota"
Ohio,Columbus,https://en.wikipedia.org/wiki/Ohio,"https://en.wikipedia.org/wiki/Columbus,_Ohio"
Oklahoma,Oklahoma City|OKC,https://en.wikipedia.org/wiki/Oklahoma,https://en.wikipedia.org/wiki/Oklahoma_City
Oregon,Salem,https://en.wikipedia.org/wiki/Oregon,"https://en.wikipedia.org/wiki/Salem,_Oregon"
Pennsylvania,Harrisburg,https://en.wikipedia.org/wiki/Pennsylvania,"https://en.wikipedia.org/wiki/Harrisburg,_Pennsylvania"
Rhode Island,Providence,https://en.wikipedia.org/wiki/Rhode_Island,"https://en.wikipedia.org/wiki/Providence,_Rhode_Island"
South Carolina,Columbia,https://en.wikipedia.org/wiki/South_Carolina,"https://en.wikipedia.org/wiki/Columbia,_South_Carolina"
South Dakota,Pierre,https://en.wikipedia.org/wiki/South_Dakota,"https://en.wikipedia.org/wiki/Pierre,_South_Dakota"
Tennessee,Nashville,https://en.wikipedia.org/wiki/Tennessee,"https://en.wikipedia.org/wiki/Nashville,_Tennessee"
Texas,Austin,https://en.wikipedia.org/wiki/Texas,"https://en.wikipedia.org/wiki/Austin,_Texas"
Utah,Salt Lake City|SLC,https://en.wikipedia.org/wiki/Utah,https://en.wikipedia.org/wiki/Salt_Lake_City
Vermont,Montpelier,https://en.wikipedia.org/wiki/Vermont,"https://en.wikipedia.org/wiki/Montpelier,_Vermont"
