question,answer,questionLink,answerLink
Afghanistan,Kabul,https://en.wikipedia.org/wiki/Afghanistan,https://en.wikipedia.org/wiki/Kabul
Albania,Tirana|Tirane,https://en.wikipedia.org/wiki/Albania,https://en.wikipedia.org/wiki/Tirana
Algeria,Algiers,https://en.wikipedia.org/wiki/Algeria,https://en.wikipedia.org/wiki/Algiers
Andorra,Andorra la Vella,https://en.wikipedia.org/wiki/Andorra,https://en.wikipedia.org/wiki/Andorra_la_Vella
Angola,Luanda,https://en.wikipedia.org/wiki/Angola,https://en.wikipedia.org/wiki/Luanda
Antigua and Barbuda,St. John's|Saint John's,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,"https://en.wikipedia.org/wiki/St._John%27s,_Antigua_and_Barbuda"
Argentina,Buenos Aires,https://en.wikipedia.org/wiki/Argentina,https://en.wikipedia.org/wiki/Buenos_Aires
Armenia,Yerevan|Erevan,https://en.wikipedia.org/wiki/Armenia,https://en.wikipedia.org/wiki/Yerevan
Australia,Canberra,https://en.wikipedia.org/wiki/Australia,https://en.wikipedia.org/wiki/Canberra
Austria,Vienna,https://en.wikipedia.org/wiki/Austria,https://en.wikipedia.org/wiki/Vienna
Azerbaijan,Baku,https://en.wikipedia.org/wiki/Azerbaijan,https://en.wikipedia.org/wiki/Baku
Bahamas,Nassau,https://en.wikipedia.org/wiki/The_Bahamas,"https://en.wikipedia.org/wiki/Nassau,_The_Bahamas"
Bahrain,Manama,https://en.wikipedia.org/wiki/Bahrain,https://en.wikipedia.org/wiki/Manama
Bangladesh,Dhaka|Dacca,https://en.wikipedia.org/wiki/Bangladesh,https://en.wikipedia.org/wiki/Dhaka
Barbados,Bridgetown,https://en.wikipedia.org/wiki/Barbados,https://en.wikipedia.org/wiki/Bridgetown
Belarus,Minsk,https://en.wikipedia.org/wiki/Belarus,https://en.wikipedia.org/wiki/Minsk
Belgium,Brussels,https://en.wikipedia.org/wiki/Belgium,https://en.wikipedia.org/wiki/Brussels
Belize,Belmopan,https://en.wikipedia.org/wiki/Belize,https://en.wikipedia.org/wiki/Belmopan
Benin,Porto-Novo|Hogbonu|Ajashe|Ajase,https://en.wikipedia.org/wiki/Benin,https://en.wikipedia.org/wiki/Porto-Novo
Bhutan,Thimphu,https://en.wikipedia.org/wiki/Bhutan,https://en.wikipedia.org/wiki/Thimphu
Bolivia,La Paz|Nuestra Señora de La Paz||Sucre,https://en.wikipedia.org/wiki/Bolivia,https://en.wikipedia.org/wiki/La_Paz|https://en.wikipedia.org/wiki/Sucre
Bosnia and Herzegovina,Sarajevo,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,https://en.wikipedia.org/wiki/Sarajevo
Botswana,Gaborone,https://en.wikipedia.org/wiki/Botswana,https://en.wikipedia.org/wiki/Gaborone
Brazil,Brasília,https://en.wikipedia.org/wiki/Brazil,https://en.wikipedia.org/wiki/Brasília
Brunei,Bandar Seri Begawan,https://en.wikipedia.org/wiki/Brunei,https://en.wikipedia.org/wiki/Bandar_Seri_Begawan
Bulgaria,Sofia,https://en.wikipedia.org/wiki/Bulgaria,https://en.wikipedia.org/wiki/Sofia
Burkina Faso,Ouagadougou|Wagadugu,https://en.wikipedia.org/wiki/Burkina_Faso,https://en.wikipedia.org/wiki/Ouagadougou
Burundi,Gitega|Kitega,https://en.wikipedia.org/wiki/Burundi,https://en.wikipedia.org/wiki/Gitega
Cabo Verde,Praia,https://en.wikipedia.org/wiki/Cape_Verde,https://en.wikipedia.org/wiki/Praia
Cambodia,Phnom Penh,https://en.wikipedia.org/wiki/Cambodia,https://en.wikipedia.org/wiki/Phnom_Penh
Cameroon,Yaoundé,https://en.wikipedia.org/wiki/Cameroon,https://en.wikipedia.org/wiki/Yaoundé
Canada,Ottawa,https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/Ottawa
Central African Republic,Bangui|Bangi,https://en.wikipedia.org/wiki/Central_African_Republic,https://en.wikipedia.org/wiki/Bangui
Chad,N'Djamena,https://en.wikipedia.org/wiki/Chad,https://en.wikipedia.org/wiki/N%27Djamena
Chile,Santiago,https://en.wikipedia.org/wiki/Chile,https://en.wikipedia.org/wiki/Santiago
China,Beijing,https://en.wikipedia.org/wiki/China,https://en.wikipedia.org/wiki/Beijing
Colombia,Bogotá,https://en.wikipedia.org/wiki/Colombia,https://en.wikipedia.org/wiki/Bogotá
Comoros,Moroni,https://en.wikipedia.org/wiki/Comoros,"https://en.wikipedia.org/wiki/Moroni,_Comoros"
Costa Rica,San José,https://en.wikipedia.org/wiki/Costa_Rica,"https://en.wikipedia.org/wiki/San_José,_Costa_Rica"
Côte d'Ivoire,Yamoussoukro,https://en.wikipedia.org/wiki/Ivory_Coast,https://en.wikipedia.org/wiki/Yamoussoukro
Croatia,Zagreb,https://en.wikipedia.org/wiki/Croatia,https://en.wikipedia.org/wiki/Zagreb
Cuba,Havana,https://en.wikipedia.org/wiki/Cuba,https://en.wikipedia.org/wiki/Havana
Cyprus,Nicosia|Lefkosia,https://en.wikipedia.org/wiki/Cyprus,https://en.wikipedia.org/wiki/Nicosia
Czechia,Prague,https://en.wikipedia.org/wiki/Czech_Republic,https://en.wikipedia.org/wiki/Prague
Democratic Republic of the Congo,Kinshasa,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,https://en.wikipedia.org/wiki/Kinshasa
Denmark,Copenhagen,https://en.wikipedia.org/wiki/Denmark,https://en.wikipedia.org/wiki/Copenhagen
Djibouti,Djibouti|Djibouti City,https://en.wikipedia.org/wiki/Djibouti,https://en.wikipedia.org/wiki/Djibouti_City
Dominica,Roseau,https://en.wikipedia.org/wiki/Dominica,https://en.wikipedia.org/wiki/Roseau
Dominican Republic,Santo Domingo,https://en.wikipedia.org/wiki/Dominican_Republic,https://en.wikipedia.org/wiki/Santo_Domingo
Ecuador,Quito|San Francisco de Quito,https://en.wikipedia.org/wiki/Ecuador,https://en.wikipedia.org/wiki/Quito
Egypt,Cairo,https://en.wikipedia.org/wiki/Egypt,https://en.wikipedia.org/wiki/Cairo
El Salvador,San Salvador,https://en.wikipedia.org/wiki/El_Salvador,https://en.wikipedia.org/wiki/San_Salvador
Equatorial Guinea,Malabo,https://en.wikipedia.org/wiki/Equatorial_Guinea,https://en.wikipedia.org/wiki/Malabo
Eritrea,Asmara|Asmera,https://en.wikipedia.org/wiki/Eritrea,https://en.wikipedia.org/wiki/Asmara
Estonia,Tallinn,https://en.wikipedia.org/wiki/Estonia,https://en.wikipedia.org/wiki/Tallinn
Eswatini,Mbabane||Lobamba,https://en.wikipedia.org/wiki/Eswatini,https://en.wikipedia.org/wiki/Mbabane|https://en.wikipedia.org/wiki/Lobamba
Ethiopia,Addis Ababa,https://en.wikipedia.org/wiki/Ethiopia,https://en.wikipedia.org/wiki/Addis_Ababa
Fiji,Suva,https://en.wikipedia.org/wiki/Fiji,https://en.wikipedia.org/wiki/Suva
Finland,Helsinki,https://en.wikipedia.org/wiki/Finland,https://en.wikipedia.org/wiki/Helsinki
France,Paris,https://en.wikipedia.org/wiki/France,https://en.wikipedia.org/wiki/Paris
Gabon,Libreville,https://en.wikipedia.org/wiki/Gabon,https://en.wikipedia.org/wiki/Libreville
