questionImage,answer,answerLink
https://commons.wikimedia.org/wiki/File:Afghanistan_in_its_region.svg,Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
https://commons.wikimedia.org/wiki/File:Albania_in_its_region.svg,Albania,https://en.wikipedia.org/wiki/Albania
https://commons.wikimedia.org/wiki/File:Algeria_in_its_region.svg,Algeria,https://en.wikipedia.org/wiki/Algeria
https://commons.wikimedia.org/wiki/File:Andorra_in_its_region.svg,Andorra,https://en.wikipedia.org/wiki/Andorra
https://commons.wikimedia.org/wiki/File:Angola_in_its_region.svg,Angola,https://en.wikipedia.org/wiki/Angola
https://commons.wikimedia.org/wiki/File:Antigua_and_Barbuda_in_its_region.svg,Antigua and Barbuda|Antigua Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
https://commons.wikimedia.org/wiki/File:Argentina_in_its_region_(%2Ball_claims_wo_Antarctica_hatched).svg,Argentina,https://en.wikipedia.org/wiki/Argentina
https://commons.wikimedia.org/wiki/File:Armenia_in_its_region.svg,Armenia,https://en.wikipedia.org/wiki/Armenia
https://commons.wikimedia.org/wiki/File:Australia_in_its_region.svg,Australia,https://en.wikipedia.org/wiki/Australia
https://commons.wikimedia.org/wiki/File:Austria_in_its_region.svg,Austria,https://en.wikipedia.org/wiki/Austria
https://commons.wikimedia.org/wiki/File:Azerbaijan_in_its_region_(claimed_hatched).svg,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
https://commons.wikimedia.org/wiki/File:Bahamas_in_its_region_(special_marker).svg,Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
https://commons.wikimedia.org/wiki/File:Bahrain_in_its_region.svg,Bahrain,https://en.wikipedia.org/wiki/Bahrain
https://commons.wikimedia.org/wiki/File:Bangladesh_in_its_region.svg,Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
https://commons.wikimedia.org/wiki/File:Barbados_in_its_region.svg,Barbados,https://en.wikipedia.org/wiki/Barbados
https://commons.wikimedia.org/wiki/File:Belarus_in_its_region.svg,Belarus,https://en.wikipedia.org/wiki/Belarus
https://commons.wikimedia.org/wiki/File:Belgium_in_its_region.svg,Belgium,https://en.wikipedia.org/wiki/Belgium
https://commons.wikimedia.org/wiki/File:Belize_in_its_region.svg,Belize,https://en.wikipedia.org/wiki/Belize
https://commons.wikimedia.org/wiki/File:Benin_in_its_region.svg,Benin,https://en.wikipedia.org/wiki/Benin
https://commons.wikimedia.org/wiki/File:Bhutan_in_its_region.svg,Bhutan,https://en.wikipedia.org/wiki/Bhutan
https://commons.wikimedia.org/wiki/File:Bolivia_in_its_region.svg,Bolivia,https://en.wikipedia.org/wiki/Bolivia
https://commons.wikimedia.org/wiki/File:Bosnia_and_Herzegovina_in_its_region.svg,Bosnia and Herzegovina|Bosnia Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
https://commons.wikimedia.org/wiki/File:Botswana_in_its_region.svg,Botswana,https://en.wikipedia.org/wiki/Botswana
https://commons.wikimedia.org/wiki/File:Brazil_in_its_region.svg,Brazil,https://en.wikipedia.org/wiki/Brazil
https://commons.wikimedia.org/wiki/File:Brunei_in_its_region_(special_marker).svg,Brunei,https://en.wikipedia.org/wiki/Brunei
https://commons.wikimedia.org/wiki/File:Bulgaria_in_its_region.svg,Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
