questionImage,answer,answerLink
Flag_of_the_Taliban.svg,Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Flag_of_Albania.svg,Albania,https://en.wikipedia.org/wiki/Albania
Flag_of_Algeria.svg,Algeria,https://en.wikipedia.org/wiki/Algeria
Flag_of_Andorra.svg,Andorra,https://en.wikipedia.org/wiki/Andorra
Flag_of_Angola.svg,Angola,https://en.wikipedia.org/wiki/Angola
Flag_of_Antigua_and_Barbuda.svg,Antigua and Barbuda|Antigua Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Flag_of_Argentina.svg,Argentina,https://en.wikipedia.org/wiki/Argentina
Flag_of_Armenia.svg,Armenia,https://en.wikipedia.org/wiki/Armenia
Flag_of_Australia_(converted).svg,Australia,https://en.wikipedia.org/wiki/Australia
Flag_of_Austria.svg,Austria,https://en.wikipedia.org/wiki/Austria
Flag_of_Azerbaijan.svg,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Flag_of_the_Bahamas.svg,Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Flag_of_Bahrain.svg,Bahrain,https://en.wikipedia.org/wiki/Bahrain
Flag_of_Bangladesh.svg,Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Flag_of_Barbados.svg,Barbados,https://en.wikipedia.org/wiki/Barbados
Flag_of_Belarus.svg,Belarus,https://en.wikipedia.org/wiki/Belarus
Flag_of_Belgium.svg,Belgium,https://en.wikipedia.org/wiki/Belgium
Flag_of_Belize.svg,Belize,https://en.wikipedia.org/wiki/Belize
Flag_of_Benin.svg,Benin,https://en.wikipedia.org/wiki/Benin
Flag_of_Bhutan.svg,Bhutan,https://en.wikipedia.org/wiki/Bhutan
Flag_of_Bolivia.svg,Bolivia,https://en.wikipedia.org/wiki/Bolivia
Flag_of_Bosnia_and_Herzegovina.svg,Bosnia and Herzegovina|Bosnia Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Flag_of_Botswana.svg,Botswana,https://en.wikipedia.org/wiki/Botswana
Flag_of_Brazil.svg,Brazil,https://en.wikipedia.org/wiki/Brazil
Flag_of_Brunei.svg,Brunei,https://en.wikipedia.org/wiki/Brunei
Flag_of_Bulgaria.svg,Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Flag_of_Burkina_Faso.svg,Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Flag_of_Burundi.svg,Burundi,https://en.wikipedia.org/wiki/Burundi
Flag_of_Cape_Verde.svg,Cabo Verde|Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
Flag_of_Cambodia.svg,Cambodia,https://en.wikipedia.org/wiki/Cambodia
Flag_of_Cameroon.svg,Cameroon,https://en.wikipedia.org/wiki/Cameroon
Flag_of_Canada_(Pantone).svg,Canada,https://en.wikipedia.org/wiki/Canada
Flag_of_the_Central_African_Republic.svg,Central African Republic|CAR,https://en.wikipedia.org/wiki/Central_African_Republic
Flag_of_Chad.svg,Chad,https://en.wikipedia.org/wiki/Chad
Flag_of_Chile.svg,Chile,https://en.wikipedia.org/wiki/Chile
Flag_of_the_People's_Republic_of_China.svg,China|People's Republic of China|PRC,https://en.wikipedia.org/wiki/China
Flag_of_Colombia.svg,Colombia,https://en.wikipedia.org/wiki/Colombia
Flag_of_the_Comoros.svg,Comoros,https://en.wikipedia.org/wiki/Comoros
Flag_of_Costa_Rica.svg,Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Flag_of_Côte_d'Ivoire.svg,Côte d'Ivoire|Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Flag_of_Croatia.svg,Croatia,https://en.wikipedia.org/wiki/Croatia
Flag_of_Cuba.svg,Cuba,https://en.wikipedia.org/wiki/Cuba
Flag_of_Cyprus.svg,Cyprus,https://en.wikipedia.org/wiki/Cyprus
Flag_of_the_Czech_Republic.svg,Czechia|Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Flag_of_the_Democratic_Republic_of_the_Congo.svg,Democratic Republic of the Congo|Democratic Republic of Congo|Dem Rep of the Congo|Dem Rep of Congo|Dem Rep Congo|DRC|Democratic Republic Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Flag_of_Denmark.svg,Denmark,https://en.wikipedia.org/wiki/Denmark
Flag_of_Djibouti.svg,Djibouti,https://en.wikipedia.org/wiki/Djibouti
Flag_of_Dominica.svg,Dominica,https://en.wikipedia.org/wiki/Dominica
Flag_of_the_Dominican_Republic.svg,Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Flag_of_Ecuador.svg,Ecuador,https://en.wikipedia.org/wiki/Ecuador
Flag_of_Egypt.svg,Egypt,https://en.wikipedia.org/wiki/Egypt
Flag_of_El_Salvador.svg,El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Flag_of_Equatorial_Guinea.svg,Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
