country,capital,answerLink
Afghanistan,Kabul,https://en.wikipedia.org/wiki/Kabul
Albania,Tirana|Tirane,https://en.wikipedia.org/wiki/Tirana
Algeria,Algiers,https://en.wikipedia.org/wiki/Algiers
Andorra,Andorra la Vella,https://en.wikipedia.org/wiki/Andorra_la_Vella
Angola,Luanda,https://en.wikipedia.org/wiki/Luanda
Antigua and Barbuda,St. John's|Saint John's,"https://en.wikipedia.org/wiki/St._John%27s,_Antigua_and_Barbuda"
Argentina,Buenos Aires,https://en.wikipedia.org/wiki/Buenos_Aires
Armenia,Yerevan|Erevan,https://en.wikipedia.org/wiki/Yerevan
Australia,Canberra,https://en.wikipedia.org/wiki/Canberra
Austria,Vienna,https://en.wikipedia.org/wiki/Vienna
Azerbaijan,Baku,https://en.wikipedia.org/wiki/Baku
Bahamas,Nassau,"https://en.wikipedia.org/wiki/Nassau,_The_Bahamas"
Bahrain,Manama,https://en.wikipedia.org/wiki/Manama
Bangladesh,Dhaka|Dacca,https://en.wikipedia.org/wiki/Dhaka
Barbados,Bridgetown,https://en.wikipedia.org/wiki/Bridgetown
Belarus,Minsk,https://en.wikipedia.org/wiki/Minsk
Belgium,Brussels,https://en.wikipedia.org/wiki/Brussels
Belize,Belmopan,https://en.wikipedia.org/wiki/Belmopan
Benin,Porto-Novo|Hogbonu|Ajashe|Ajase,https://en.wikipedia.org/wiki/Porto-Novo
Bhutan,Thimphu,https://en.wikipedia.org/wiki/Thimphu
Bolivia,La Paz|Nuestra Señora de La Paz||Sucre,https://en.wikipedia.org/wiki/La_Paz|https://en.wikipedia.org/wiki/Sucre
Bosnia and Herzegovina,Sarajevo,https://en.wikipedia.org/wiki/Sarajevo
Botswana,Gaborone,https://en.wikipedia.org/wiki/Gaborone
Brazil,Brasília,https://en.wikipedia.org/wiki/Brasília
Brunei,Bandar Seri Begawan,https://en.wikipedia.org/wiki/Bandar_Seri_Begawan
Bulgaria,Sofia,https://en.wikipedia.org/wiki/Sofia
Burkina Faso,Ouagadougou|Wagadugu,https://en.wikipedia.org/wiki/Ouagadougou
Burundi,Gitega|Kitega,https://en.wikipedia.org/wiki/Gitega
Cabo Verde,Praia,https://en.wikipedia.org/wiki/Praia
Cambodia,Phnom Penh,https://en.wikipedia.org/wiki/Phnom_Penh
Cameroon,Yaoundé,https://en.wikipedia.org/wiki/Yaoundé
Canada,Ottawa,https://en.wikipedia.org/wiki/Ottawa
Central African Republic,Bangui|Bangi,https://en.wikipedia.org/wiki/Bangui
Chad,N'Djamena,https://en.wikipedia.org/wiki/N%27Djamena
